Metric,K=1,K=3,K=5,K=7,K=10,K=20,K=50,Value
Recall@K,0.11336934503713707,0.325050641458474,0.5109385550303849,0.6147873058744092,0.6539500337609723,0.6557056043214045,0.6557056043214045,
Precision@K,0.22673869007427414,0.21670042763898265,0.20437542201215397,0.17565351596411685,0.13079000675219446,0.06557056043214043,0.02622822417285618,
Recall提升率(%),13.369345037137062,225.050641458474,410.9385550303848,514.7873058744092,553.9500337609722,555.7056043214044,555.7056043214044,
MRR,,,,,,,,0.4327113339807465
NDCG,,,,,,,,0.43943207636072273
MAP,,,,,,,,0.31359221654630165
Hit Rate,,,,,,,,0.8679270762997975
Title Recall,,,,,,,,0.6557056043214045
Title Precision,,,,,,,,0.06817777534962498
Exact Match,,,,,,,,0.0964213369345037
F1 Score,,,,,,,,0.2083272983139892
Semantic Similarity,,,,,,,,0.5774170790746257
