k1,k2,k4,threshold,Recall@3,Precision@3,MRR,NDCG,MAP,Exact Match,F1,Semantic Similarity,Recall@5,Precision@5,Recall@7,Precision@7,Recall@10,Precision@10
5,10,3,0.2,0.589,0.3926666666666666,0.6863333333333332,0.5525712655649936,0.46249999999999997,0.0,0.11765478539230781,0.5697542949185979,,,,,,
5,20,5,0.4,,,0.6960333333333333,0.6057651949570436,0.5092499999999999,0.0,0.11165777781578967,0.5649850865638438,0.688,0.27520000000000006,,,,
5,30,7,0.5,,,0.6892333333333334,0.6080576385604928,0.5095404761904762,0.0,0.11323072802930995,0.5673162456376738,,,0.701,0.20028571428571423,,
5,10,10,0.3,,,0.6967436507936509,0.6163249686934166,0.5169123015873015,0.0,0.11577550669170328,0.5585683610524527,,,,,0.712,0.14240000000000003
10,10,5,0.5,,,0.7045333333333333,0.6178198562369448,0.5203333333333332,0.0,0.11448150825241589,0.5698703246384998,0.704,0.2816,,,,
10,20,3,0.3,0.606,0.404,0.692,0.565753347505017,0.47333333333333333,0.0,0.11402953815834087,0.5709970685986734,,,,,,
10,30,10,0.2,,,0.7005523809523809,0.6317720366856406,0.5268119047619048,0.0,0.11361060727870002,0.571250892783185,,,,,0.747,0.1494
10,10,7,0.4,,,0.7065999999999999,0.6294685225317863,0.5297047619047619,0.0,0.11508720777668194,0.5703924568950551,,,0.728,0.20799999999999993,,
15,10,7,0.3,,,0.711152380952381,0.6328816631173784,0.5322857142857143,0.0,0.11019327151239024,0.568766337832538,,,0.732,0.20914285714285707,,
15,20,10,0.5,,,0.7028380952380954,0.6357563061857215,0.5304436507936507,0.0,0.11355643166286244,0.5729127341642045,,,,,0.753,0.15059999999999998
15,30,3,0.4,0.606,0.40399999999999997,0.691,0.5652425857458573,0.4711666666666666,0.0,0.11143417615131676,0.5700690318014772,,,,,,
15,10,5,0.2,,,0.7055666666666666,0.6181924982296718,0.52115,0.0,0.11175820135305538,0.5706954773622672,0.703,0.28120000000000006,,,,
20,10,10,0.4,,,0.7084460317460317,0.6403666759369067,0.5372523809523809,0.0,0.11492207070999418,0.5698363406907963,,,,,0.753,0.1506
20,20,7,0.2,,,0.7009857142857142,0.627064372860302,0.5258642857142857,0.0,0.11288377691194075,0.5705037623752319,,,0.73,0.20857142857142852,,
20,30,5,0.5,,,0.6930333333333333,0.6135894777196415,0.5143499999999999,0.0,0.11865785346581197,0.573870491909194,0.708,0.28320000000000006,,,,
